古城,"1号线,0,是"
八角游乐园,"1号线,1,是"
八宝山,"1号线,2,是"
玉泉路,"1号线,3,是"
五棵松,"1号线,4,是"
万寿路,"1号线,5,是"
公主坟,"1号线,6,是 10号线外环,6,是 10号线内环,39,是"
军事博物馆,"1号线,7,是 9号线,9,是"
木樨地,"1号线,8,是"
南礼士路,"1号线,9,是"
复兴门,"1号线,10,是 2号线外环,3,是 2号线内环,14,是"
西单,"1号线,11,是 4号线大兴线,16,是"
天安门西,"1号线,12,是"
天安门东,"1号线,13,是"
王府井,"1号线,14,是"
东单,"1号线,15,是 5号线,6,是"
建国门,"1号线,16,是 2号线外环,10,是 2号线内环,7,是"
永安里,"1号线,17,是"
国贸,"1号线,18,是 10号线外环,26,是 10号线内环,19,是"
大望路,"1号线,19,是 14号线东段,8,是"
四惠,"1号线,20,是 八通线,0,是"
四惠东,"1号线,21,是 八通线,1,是"
西直门,"2号线外环,0,是 2号线内环,17,是 4号线大兴线,11,是 13号线,0,是"
车公庄,"2号线外环,1,是 2号线内环,16,是 6号线,10,是"
阜成门,"2号线外环,2,是 2号线内环,15,是 3号线,7,否"
长椿街,"2号线外环,4,是 2号线内环,13,是"
宣武门,"2号线外环,5,是 2号线内环,12,是 4号线大兴线,17,是"
和平门,"2号线外环,6,是 2号线内环,11,是"
前门,"2号线外环,7,是 2号线内环,10,是"
崇文门,"2号线外环,8,是 2号线内环,9,是 5号线,5,是"
北京站,"2号线外环,9,是 2号线内环,8,是"
朝阳门,"2号线外环,11,是 2号线内环,6,是 6号线,15,是"
东四十条,"2号线外环,12,是 2号线内环,5,是 3号线,12,否"
东直门,"2号线外环,13,是 2号线内环,4,是 13号线,15,是 首都机场线,0,是"
雍和宫,"2号线外环,14,是 2号线内环,3,是 5号线,11,是"
安定门,"2号线外环,15,是 2号线内环,2,是"
鼓楼大街,"2号线外环,16,是 2号线内环,1,是 8号线北,15,是"
积水潭,"2号线外环,17,是 2号线内环,0,是"
安河桥北,"4号线大兴线,0,是"
北宫门,"4号线大兴线,1,是"
西苑,"4号线大兴线,2,是 16号线,0,是"
圆明园,"4号线大兴线,3,是"
北京大学东门,"4号线大兴线,4,是"
中关村,"4号线大兴线,5,是"
海淀黄庄,"4号线大兴线,6,是 10号线外环,43,是 10号线内环,2,是"
人民大学,"4号线大兴线,7,是 12号线,6,否"
魏公村,"4号线大兴线,8,是"
国家图书馆,"4号线大兴线,9,是 9号线,12,是"
动物园,"4号线大兴线,10,是"
新街口,"4号线大兴线,12,是"
平安里,"4号线大兴线,13,是 6号线,11,是"
西四,"4号线大兴线,14,是 3号线,8,否"
灵境胡同,"4号线大兴线,15,是"
菜市口,"4号线大兴线,18,是 7号线,4,是"
陶然亭,"4号线大兴线,19,是 11号线,4,否"
北京南站,"4号线大兴线,20,是 14号线东段,0,是"
马家堡,"4号线大兴线,21,是"
角门西,"4号线大兴线,22,是 10号线外环,15,是 10号线内环,30,是"
公益西桥,"4号线大兴线,23,是"
新宫,"4号线大兴线,24,是"
西红门,"4号线大兴线,25,是"
高米店北,"4号线大兴线,26,是"
高米店南,"4号线大兴线,27,是"
枣园,"4号线大兴线,28,是"
清源路,"4号线大兴线,29,是"
黄村西大街,"4号线大兴线,30,是"
黄村火车站,"4号线大兴线,31,是"
义和庄,"4号线大兴线,32,是"
生物医药基地,"4号线大兴线,33,是"
天宫院,"4号线大兴线,34,是"
宋家庄,"5号线,0,是 10号线外环,19,是 10号线内环,26,是 亦庄线,0,是"
刘家窑,"5号线,1,是"
蒲黄榆,"5号线,2,是 14号线东段,3,是"
天坛东门,"5号线,3,是 11号线,6,否"
磁器口,"5号线,4,是 7号线,8,是"
灯市口,"5号线,7,是"
东四,"5号线,8,是 6号线,14,是 3号线,11,否"
张自忠路,"5号线,9,是"
北新桥,"5号线,10,是"
和平里北街,"5号线,12,是"
和平西桥,"5号线,13,是 12号线,14,否"
惠新西街南口,"5号线,14,是 10号线外环,35,是 10号线内环,10,是"
惠新西街北口,"5号线,15,是"
大屯路东,"5号线,16,是 15号线,14,是"
北苑路北,"5号线,17,是"
立水桥南,"5号线,18,是"
立水桥,"5号线,19,是 13号线,9,是"
天通苑南,"5号线,20,是"
天通苑,"5号线,21,是"
天通苑北,"5号线,22,是"
金安桥,"6号线,0,是 S1号线,0,是 11号线,0,否"
杨庄,"6号线,1,是"
西黄村,"6号线,2,是"
廖公庄,"6号线,3,是"
田村,"6号线,4,是 3号线,0,否 12号线,0,否"
海淀五路居,"6号线,5,是"
慈寿寺,"6号线,6,是 10号线外环,4,是 10号线内环,41,是"
花园桥,"6号线,7,是"
白石桥南,"6号线,8,是 9号线,11,是"
车公庄西,"6号线,9,是"
北海北,"6号线,12,是"
南锣鼓巷,"6号线,13,是 8号线北,17,是"
东大桥,"6号线,16,是"
呼家楼,"6号线,17,是 10号线外环,28,是 10号线内环,17,是"
金台路,"6号线,18,是 14号线东段,9,是"
十里堡,"6号线,19,是"
青年路,"6号线,20,是"
褡裢坡,"6号线,21,是"
黄渠,"6号线,22,是"
常营,"6号线,23,是"
草房,"6号线,24,是"
物资学院路,"6号线,25,是"
通州北关,"6号线,26,是"
北运河西,"6号线,27,是"
北运河东,"6号线,28,是"
郝家府,"6号线,29,是"
东夏园,"6号线,30,是"
潞城,"6号线,31,是"
北京西站,"7号线,0,是 9号线,8,是"
湾子,"7号线,1,是"
达官营,"7号线,2,是"
广安门内,"7号线,3,是"
虎坊桥,"7号线,5,是"
珠市口,"7号线,6,是 8号线南,12,是"
桥湾,"7号线,7,是"
广渠门内,"7号线,9,是"
广渠门外,"7号线,10,是"
九龙山,"7号线,11,是 14号线东段,7,是"
大郊亭,"7号线,12,是"
百子湾,"7号线,13,是"
化工,"7号线,14,是"
南楼梓庄,"7号线,15,是"
欢乐谷景区,"7号线,16,是"
垡头,"7号线,17,是"
双合,"7号线,18,是"
焦化厂,"7号线,19,是"
瀛海,"8号线南,0,是"
德茂,"8号线南,1,是"
五福堂,"8号线南,2,是"
火箭万源,"8号线南,3,是"
东高地,"8号线南,4,是"
和义,"8号线南,5,是"
大红门南,"8号线南,6,是"
大红门,"8号线南,7,是 10号线外环,17,是 10号线内环,28,是"
海户屯,"8号线南,8,是"
木樨园,"8号线南,9,是"
永定门外,"8号线南,10,是 14号线东段,1,是"
天桥,"8号线南,11,是"
朱辛庄,"8号线北,0,是 昌平线,9,是"
育知路,"8号线北,1,是"
平西府,"8号线北,2,是"
回龙观东大街,"8号线北,3,是"
